time,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
0,3388,65,59,0,6,5,619,3362,
1,3404,58,9,0,3,0,621,3482,
2,3332,63,9,0,5,12,613,3761,
3,3412,70,0,0,7,31,610,3367,
4,3447,66,43,0,0,0,625,3467,
5,3338,66,11,0,0,0,619,3360,
6,3303,57,5,0,4,15,609,3371,
7,3373,28,0,0,1,22,621,3348,
8,3245,18,12,0,0,0,594,3779,
9,3093,0,6,0,1,7,528,3262,
10,2958,0,14,0,0,19,464,3080,
11,2461,0,0,0,7,1,389,2220,
12,2044,0,13,0,1,14,367,2274,
13,2424,0,10,0,0,0,334,2094,
14,1469,0,0,0,0,68,314,2270,
15,1145,0,16,0,0,4,271,1371,
16,0,0,4,0,1,0,250,1236,
17,821,0,7,0,3,0,203,1087,
18,1008,0,0,0,0,50,230,945,
19,1435,0,0,0,2,1,200,883,
20,571,0,10,0,0,1,185,1486,
21,478,0,8,0,1,5,167,728,
22,322,0,0,0,0,0,161,672,
23,300,0,6,0,4,0,146,0,
24,313,0,9,0,0,0,137,532,
25,938,0,0,0,1,0,114,453,
26,0,0,6,0,0,21,102,452,
27,145,0,2,0,0,0,113,384,
28,154,0,0,0,2,0,86,357,
29,108,0,4,0,5,7,97,196,
30,78,0,4,0,0,8,91,341,
31,92,0,2,0,1,0,95,831,
32,45,0,0,0,1,0,99,650,
33,39,0,4,0,0,0,82,277,
34,0,0,6,0,0,38,80,265,
35,18,0,0,0,0,0,53,0,
36,423,0,1,0,1,5,83,226,
37,195,0,4,0,0,1,84,234,
38,0,0,5,0,0,0,72,544,
39,0,0,6,0,0,2,77,221,
40,0,0,0,0,0,24,54,178,
41,0,0,6,0,0,0,69,0,
42,0,0,0,0,4,0,68,169,
43,217,0,1,0,0,0,57,179,
44,0,0,7,0,0,0,76,155,
45,0,0,4,0,0,0,79,162,
46,0,0,4,0,0,4,57,142,
47,0,0,0,0,0,0,67,252,
48,0,0,2,0,0,13,71,149,
49,0,0,2,0,0,0,56,237,
