time,target,sensor,P,I,D,ds
1,150,52,-980.000000,-0.209067,-2296.875000,-3277.084067
2,150,52,-980.000000,-0.418133,0.000000,-980.418133
3,150,55,-950.000000,-0.620800,70.312500,-880.308300
4,150,55,-950.000000,-0.823467,0.000000,-950.823467
5,150,55,-950.000000,-1.026133,0.000000,-951.026133
6,150,55,-950.000000,-1.228800,0.000000,-951.228800
7,150,53,-970.000000,-1.435733,-46.875000,-1018.310733
8,150,53,-970.000000,-1.642667,0.000000,-971.642667
9,150,53,-970.000000,-1.849600,0.000000,-971.849600
10,150,53,-970.000000,-2.056533,0.000000,-972.056533
11,150,53,-970.000000,-2.263467,0.000000,-972.263467
12,150,68,-820.000000,-2.438400,351.562500,-470.875900
13,150,68,-820.000000,-2.613333,0.000000,-822.613333
14,150,68,-820.000000,-2.788267,0.000000,-822.788267
15,150,68,-820.000000,-2.963200,0.000000,-822.963200
16,150,68,-820.000000,-3.138133,0.000000,-823.138133
17,150,88,-620.000000,-3.270400,468.750000,-154.520400
18,150,88,-620.000000,-3.402667,0.000000,-623.402667
19,150,88,-620.000000,-3.534933,0.000000,-623.534933
20,150,88,-620.000000,-3.667200,0.000000,-623.667200
21,150,88,-620.000000,-3.799467,0.000000,-623.799467
22,150,102,-480.000000,-3.901867,328.125000,-155.776867
23,150,102,-480.000000,-4.004267,0.000000,-484.004267
24,150,102,-480.000000,-4.106667,0.000000,-484.106667
25,150,102,-480.000000,-4.209067,0.000000,-484.209067
26,150,102,-480.000000,-4.311467,0.000000,-484.311467
27,150,104,-460.000000,-4.409600,46.875000,-417.534600
28,150,104,-460.000000,-4.507733,0.000000,-464.507733
29,150,104,-460.000000,-4.605867,0.000000,-464.605867
30,150,104,-460.000000,-4.704000,0.000000,-464.704000
31,150,104,-460.000000,-4.802133,0.000000,-464.802133
32,150,120,-300.000000,-4.866133,375.000000,70.133867
33,150,120,-300.000000,-4.930133,0.000000,-304.930133
34,150,120,-300.000000,-4.994133,0.000000,-304.994133
35,150,120,-300.000000,-5.058133,0.000000,-305.058133
36,150,120,-300.000000,-5.122133,0.000000,-305.122133
37,150,115,-350.000000,-5.196800,-117.187500,-472.384300
38,150,115,-350.000000,-5.271467,0.000000,-355.271467
39,150,115,-350.000000,-5.346133,0.000000,-355.346133
40,150,115,-350.000000,-5.420800,0.000000,-355.420800
41,150,133,-170.000000,-5.457067,421.875000,246.417933
42,150,133,-170.000000,-5.493333,0.000000,-175.493333
43,150,133,-170.000000,-5.529600,0.000000,-175.529600
44,150,133,-170.000000,-5.565867,0.000000,-175.565867
45,150,133,-170.000000,-5.602133,0.000000,-175.602133
46,150,122,-280.000000,-5.661867,-257.812500,-543.474367
47,150,122,-280.000000,-5.721600,0.000000,-285.721600
48,150,122,-280.000000,-5.781333,0.000000,-285.781333
49,150,122,-280.000000,-5.841067,0.000000,-285.841067
50,150,122,-280.000000,-5.900800,0.000000,-285.900800
51,150,129,-210.000000,-5.945600,164.062500,-51.883100
52,150,129,-210.000000,-5.990400,0.000000,-215.990400
53,150,129,-210.000000,-6.035200,0.000000,-216.035200
54,150,129,-210.000000,-6.080000,0.000000,-216.080000
55,150,129,-210.000000,-6.124800,0.000000,-216.124800
56,150,128,-220.000000,-6.171733,-23.437500,-249.609233
57,150,128,-220.000000,-6.218667,0.000000,-226.218667
58,150,128,-220.000000,-6.265600,0.000000,-226.265600
59,150,128,-220.000000,-6.312533,0.000000,-226.312533
60,150,128,-220.000000,-6.359467,0.000000,-226.359467
61,150,135,-150.000000,-6.391467,164.062500,7.671033
62,150,135,-150.000000,-6.423467,0.000000,-156.423467
63,150,135,-150.000000,-6.455467,0.000000,-156.455467
64,150,135,-150.000000,-6.487467,0.000000,-156.487467
65,150,135,-150.000000,-6.519467,0.000000,-156.519467
66,150,135,-150.000000,-6.551467,0.000000,-156.551467
67,150,135,-150.000000,-6.583467,0.000000,-156.583467
68,150,135,-150.000000,-6.615467,0.000000,-156.615467
69,150,135,-150.000000,-6.647467,0.000000,-156.647467
70,150,135,-150.000000,-6.679467,0.000000,-156.679467
71,150,151,10.000000,-6.677333,375.000000,378.322667
72,150,151,10.000000,-6.675200,0.000000,3.324800
73,150,151,10.000000,-6.673067,0.000000,3.326933
74,150,151,10.000000,-6.670933,0.000000,3.329067
75,150,151,10.000000,-6.668800,0.000000,3.331200
76,150,129,-210.000000,-6.713600,-515.625000,-732.338600
77,150,129,-210.000000,-6.758400,0.000000,-216.758400
78,150,129,-210.000000,-6.803200,0.000000,-216.803200
79,150,129,-210.000000,-6.848000,0.000000,-216.848000
80,150,129,-210.000000,-6.892800,0.000000,-216.892800
81,150,141,-90.000000,-6.912000,281.250000,184.338000
82,150,141,-90.000000,-6.931200,0.000000,-96.931200
83,150,141,-90.000000,-6.950400,0.000000,-96.950400
84,150,141,-90.000000,-6.969600,0.000000,-96.969600
85,150,136,-140.000000,-6.999467,-117.187500,-264.186967
86,150,136,-140.000000,-7.029333,0.000000,-147.029333
87,150,136,-140.000000,-7.059200,0.000000,-147.059200
88,150,136,-140.000000,-7.089067,0.000000,-147.089067
89,150,136,-140.000000,-7.118933,0.000000,-147.118933
90,150,141,-90.000000,-7.138133,117.187500,20.049367
91,150,141,-90.000000,-7.157333,0.000000,-97.157333
92,150,141,-90.000000,-7.176533,0.000000,-97.176533
93,150,141,-90.000000,-7.195733,0.000000,-97.195733
94,150,141,-90.000000,-7.214933,0.000000,-97.214933
95,150,139,-110.000000,-7.238400,-46.875000,-164.113400
96,150,139,-110.000000,-7.261867,0.000000,-117.261867
97,150,139,-110.000000,-7.285333,0.000000,-117.285333
98,150,139,-110.000000,-7.308800,0.000000,-117.308800
99,150,139,-110.000000,-7.332267,0.000000,-117.332267
100,150,141,-90.000000,-7.351467,46.875000,-50.476467
101,150,141,-90.000000,-7.370667,0.000000,-97.370667
102,150,141,-90.000000,-7.389867,0.000000,-97.389867
103,150,141,-90.000000,-7.409067,0.000000,-97.409067
104,150,141,-90.000000,-7.428267,0.000000,-97.428267
105,150,139,-110.000000,-7.451733,-46.875000,-164.326733
106,150,139,-110.000000,-7.475200,0.000000,-117.475200
107,150,139,-110.000000,-7.498667,0.000000,-117.498667
108,150,139,-110.000000,-7.522133,0.000000,-117.522133
109,150,139,-110.000000,-7.545600,0.000000,-117.545600
110,150,137,-130.000000,-7.573333,-46.875000,-184.448333
111,150,137,-130.000000,-7.601067,0.000000,-137.601067
112,150,137,-130.000000,-7.628800,0.000000,-137.628800
113,150,137,-130.000000,-7.656533,0.000000,-137.656533
114,150,137,-130.000000,-7.684267,0.000000,-137.684267
115,150,140,-100.000000,-7.705600,70.312500,-37.393100
116,150,140,-100.000000,-7.726933,0.000000,-107.726933
117,150,140,-100.000000,-7.748267,0.000000,-107.748267
118,150,140,-100.000000,-7.769600,0.000000,-107.769600
119,150,140,-100.000000,-7.790933,0.000000,-107.790933
120,150,140,-100.000000,-7.812267,0.000000,-107.812267
121,150,140,-100.000000,-7.833600,0.000000,-107.833600
122,150,140,-100.000000,-7.854933,0.000000,-107.854933
123,150,140,-100.000000,-7.876267,0.000000,-107.876267
124,150,140,-100.000000,-7.897600,0.000000,-107.897600
125,150,140,-100.000000,-7.918933,0.000000,-107.918933
126,150,140,-100.000000,-7.940267,0.000000,-107.940267
127,150,140,-100.000000,-7.961600,0.000000,-107.961600
128,150,140,-100.000000,-7.982933,0.000000,-107.982933
129,150,144,-60.000000,-7.995733,93.750000,25.754267
130,150,144,-60.000000,-8.008533,0.000000,-68.008533
131,150,144,-60.000000,-8.021333,0.000000,-68.021333
132,150,144,-60.000000,-8.034133,0.000000,-68.034133
133,150,144,-60.000000,-8.046933,0.000000,-68.046933
134,150,143,-70.000000,-8.061867,-23.437500,-101.499367
135,150,143,-70.000000,-8.076800,0.000000,-78.076800
136,150,143,-70.000000,-8.091733,0.000000,-78.091733
137,150,143,-70.000000,-8.106667,0.000000,-78.106667
138,150,143,-70.000000,-8.121600,0.000000,-78.121600
139,150,146,-40.000000,-8.130133,70.312500,22.182367
140,150,146,-40.000000,-8.138667,0.000000,-48.138667
141,150,146,-40.000000,-8.147200,0.000000,-48.147200
142,150,146,-40.000000,-8.155733,0.000000,-48.155733
143,150,146,-40.000000,-8.164267,0.000000,-48.164267
144,150,47,-1030.000000,-8.384000,-2320.312500,-3358.696500
145,150,47,-1030.000000,-8.603733,0.000000,-1038.603733
146,150,47,-1030.000000,-8.823467,0.000000,-1038.823467
147,150,47,-1030.000000,-9.043200,0.000000,-1039.043200
148,150,47,-1030.000000,-9.262933,0.000000,-1039.262933
149,150,57,-930.000000,-9.461333,234.375000,-705.086333
150,150,57,-930.000000,-9.659733,0.000000,-939.659733
151,150,57,-930.000000,-9.858133,0.000000,-939.858133
152,150,57,-930.000000,-10.056533,0.000000,-940.056533
153,150,137,-130.000000,-10.084267,1875.000000,1734.915733
154,150,137,-130.000000,-10.112000,0.000000,-140.112000
155,150,137,-130.000000,-10.139733,0.000000,-140.139733
156,150,137,-130.000000,-10.167467,0.000000,-140.167467
157,150,137,-130.000000,-10.195200,0.000000,-140.195200
158,150,114,-360.000000,-10.272000,-539.062500,-909.334500
159,150,114,-360.000000,-10.348800,0.000000,-370.348800
160,150,114,-360.000000,-10.425600,0.000000,-370.425600
161,150,114,-360.000000,-10.502400,0.000000,-370.502400
162,150,114,-360.000000,-10.579200,0.000000,-370.579200
163,150,122,-280.000000,-10.638933,187.500000,-103.138933
164,150,122,-280.000000,-10.698667,0.000000,-290.698667
165,150,122,-280.000000,-10.758400,0.000000,-290.758400
166,150,122,-280.000000,-10.818133,0.000000,-290.818133
167,150,122,-280.000000,-10.877867,0.000000,-290.877867
168,150,137,-130.000000,-10.905600,351.562500,210.656900
169,150,137,-130.000000,-10.933333,0.000000,-140.933333
170,150,137,-130.000000,-10.961067,0.000000,-140.961067
171,150,137,-130.000000,-10.988800,0.000000,-140.988800
172,150,137,-130.000000,-11.016533,0.000000,-141.016533
173,150,127,-230.000000,-11.065600,-234.375000,-475.440600
174,150,127,-230.000000,-11.114667,0.000000,-241.114667
175,150,127,-230.000000,-11.163733,0.000000,-241.163733
176,150,127,-230.000000,-11.212800,0.000000,-241.212800
177,150,127,-230.000000,-11.261867,0.000000,-241.261867
178,150,141,-90.000000,-11.281067,328.125000,226.843933
179,150,141,-90.000000,-11.300267,0.000000,-101.300267
180,150,141,-90.000000,-11.319467,0.000000,-101.319467
181,150,141,-90.000000,-11.338667,0.000000,-101.338667
182,150,141,-90.000000,-11.357867,0.000000,-101.357867
183,150,129,-210.000000,-11.402667,-281.250000,-502.652667
184,150,129,-210.000000,-11.447467,0.000000,-221.447467
185,150,129,-210.000000,-11.492267,0.000000,-221.492267
186,150,129,-210.000000,-11.537067,0.000000,-221.537067
187,150,129,-210.000000,-11.581867,0.000000,-221.581867
188,150,126,-240.000000,-11.633067,-70.312500,-321.945567
189,150,126,-240.000000,-11.684267,0.000000,-251.684267
190,150,126,-240.000000,-11.735467,0.000000,-251.735467
191,150,126,-240.000000,-11.786667,0.000000,-251.786667
192,150,126,-240.000000,-11.837867,0.000000,-251.837867
193,150,134,-160.000000,-11.872000,187.500000,15.628000
194,150,134,-160.000000,-11.906133,0.000000,-171.906133
195,150,134,-160.000000,-11.940267,0.000000,-171.940267
196,150,134,-160.000000,-11.974400,0.000000,-171.974400
197,150,141,-90.000000,-11.993600,164.062500,62.068900
198,150,141,-90.000000,-12.012800,0.000000,-102.012800
199,150,141,-90.000000,-12.032000,0.000000,-102.032000
200,150,141,-90.000000,-12.051200,0.000000,-102.051200
201,150,141,-90.000000,-12.070400,0.000000,-102.070400
202,150,147,-30.000000,-12.076800,140.625000,98.548200
203,150,147,-30.000000,-12.083200,0.000000,-42.083200
204,150,147,-30.000000,-12.089600,0.000000,-42.089600
205,150,147,-30.000000,-12.096000,0.000000,-42.096000
206,150,147,-30.000000,-12.102400,0.000000,-42.102400
207,150,165,150.000000,-12.070400,421.875000,559.804600
208,150,165,150.000000,-12.038400,0.000000,137.961600
209,150,165,150.000000,-12.006400,0.000000,137.993600
210,150,165,150.000000,-11.974400,0.000000,138.025600
211,150,165,150.000000,-11.942400,0.000000,138.057600
212,150,168,180.000000,-11.904000,70.312500,238.408500
213,150,168,180.000000,-11.865600,0.000000,168.134400
214,150,168,180.000000,-11.827200,0.000000,168.172800
215,150,168,180.000000,-11.788800,0.000000,168.211200
216,150,168,180.000000,-11.750400,0.000000,168.249600
217,150,184,340.000000,-11.677867,375.000000,703.322133
218,150,184,340.000000,-11.605333,0.000000,328.394667
219,150,184,340.000000,-11.532800,0.000000,328.467200
220,150,184,340.000000,-11.460267,0.000000,328.539733
221,150,184,340.000000,-11.387733,0.000000,328.612267
222,150,210,600.000000,-11.259733,609.375000,1198.115267
223,150,210,600.000000,-11.131733,0.000000,588.868267
224,150,210,600.000000,-11.003733,0.000000,588.996267
225,150,210,600.000000,-10.875733,0.000000,589.124267
226,150,210,600.000000,-10.747733,0.000000,589.252267
227,150,197,470.000000,-10.647467,-304.687500,154.665033
228,150,197,470.000000,-10.547200,0.000000,459.452800
229,150,197,470.000000,-10.446933,0.000000,459.553067
230,150,197,470.000000,-10.346667,0.000000,459.653333
231,150,197,470.000000,-10.246400,0.000000,459.753600
232,150,208,580.000000,-10.122667,257.812500,827.689833
233,150,208,580.000000,-9.998933,0.000000,570.001067
234,150,208,580.000000,-9.875200,0.000000,570.124800
235,150,208,580.000000,-9.751467,0.000000,570.248533
236,150,208,580.000000,-9.627733,0.000000,570.372267
237,150,182,320.000000,-9.559467,-609.375000,-298.934467
238,150,182,320.000000,-9.491200,0.000000,310.508800
239,150,182,320.000000,-9.422933,0.000000,310.577067
240,150,182,320.000000,-9.354667,0.000000,310.645333
241,150,207,570.000000,-9.233067,585.937500,1146.704433
242,150,207,570.000000,-9.111467,0.000000,560.888533
243,150,207,570.000000,-8.989867,0.000000,561.010133
244,150,207,570.000000,-8.868267,0.000000,561.131733
245,150,207,570.000000,-8.746667,0.000000,561.253333
246,150,180,300.000000,-8.682667,-632.812500,-341.495167
247,150,180,300.000000,-8.618667,0.000000,291.381333
248,150,180,300.000000,-8.554667,0.000000,291.445333
249,150,180,300.000000,-8.490667,0.000000,291.509333
250,200,180,-200.000000,-8.533333,-1171.875000,-1380.408333
251,200,183,-170.000000,-8.569600,70.312500,-108.257100
252,200,183,-170.000000,-8.605867,0.000000,-178.605867
253,200,183,-170.000000,-8.642133,0.000000,-178.642133
254,200,183,-170.000000,-8.678400,0.000000,-178.678400
255,200,183,-170.000000,-8.714667,0.000000,-178.714667
256,200,177,-230.000000,-8.763733,-140.625000,-379.388733
257,200,177,-230.000000,-8.812800,0.000000,-238.812800
258,200,177,-230.000000,-8.861867,0.000000,-238.861867
259,200,177,-230.000000,-8.910933,0.000000,-238.910933
260,200,177,-230.000000,-8.960000,0.000000,-238.960000
261,200,182,-180.000000,-8.998400,117.187500,-71.810900
262,200,182,-180.000000,-9.036800,0.000000,-189.036800
263,200,182,-180.000000,-9.075200,0.000000,-189.075200
264,200,182,-180.000000,-9.113600,0.000000,-189.113600
265,200,182,-180.000000,-9.152000,0.000000,-189.152000
266,200,183,-170.000000,-9.188267,23.437500,-155.750767
267,200,183,-170.000000,-9.224533,0.000000,-179.224533
268,200,183,-170.000000,-9.260800,0.000000,-179.260800
269,200,183,-170.000000,-9.297067,0.000000,-179.297067
270,200,183,-170.000000,-9.333333,0.000000,-179.333333
271,200,190,-100.000000,-9.354667,164.062500,54.707833
272,200,190,-100.000000,-9.376000,0.000000,-109.376000
273,200,190,-100.000000,-9.397333,0.000000,-109.397333
274,200,190,-100.000000,-9.418667,0.000000,-109.418667
275,200,190,-100.000000,-9.440000,0.000000,-109.440000
276,200,187,-130.000000,-9.467733,-70.312500,-209.780233
277,200,187,-130.000000,-9.495467,0.000000,-139.495467
278,200,187,-130.000000,-9.523200,0.000000,-139.523200
279,200,187,-130.000000,-9.550933,0.000000,-139.550933
280,200,194,-60.000000,-9.563733,164.062500,94.498767
281,200,194,-60.000000,-9.576533,0.000000,-69.576533
282,200,194,-60.000000,-9.589333,0.000000,-69.589333
283,200,194,-60.000000,-9.602133,0.000000,-69.602133
284,200,194,-60.000000,-9.614933,0.000000,-69.614933
285,200,199,-10.000000,-9.617067,117.187500,97.570433
286,200,199,-10.000000,-9.619200,0.000000,-19.619200
287,200,199,-10.000000,-9.621333,0.000000,-19.621333
288,200,199,-10.000000,-9.623467,0.000000,-19.623467
289,200,199,-10.000000,-9.625600,0.000000,-19.625600
290,200,197,-30.000000,-9.632000,-46.875000,-86.507000
291,200,197,-30.000000,-9.638400,0.000000,-39.638400
292,200,197,-30.000000,-9.644800,0.000000,-39.644800
293,200,197,-30.000000,-9.651200,0.000000,-39.651200
294,200,197,-30.000000,-9.657600,0.000000,-39.657600
295,200,203,30.000000,-9.651200,140.625000,160.973800
296,200,203,30.000000,-9.644800,0.000000,20.355200
297,200,203,30.000000,-9.638400,0.000000,20.361600
298,200,203,30.000000,-9.632000,0.000000,20.368000
299,200,203,30.000000,-9.625600,0.000000,20.374400
300,200,201,10.000000,-9.623467,-46.875000,-46.498467
301,200,201,10.000000,-9.621333,0.000000,0.378667
302,200,201,10.000000,-9.619200,0.000000,0.380800
303,200,201,10.000000,-9.617067,0.000000,0.382933
304,200,201,10.000000,-9.614933,0.000000,0.385067
305,200,201,10.000000,-9.612800,0.000000,0.387200
306,200,201,10.000000,-9.610667,0.000000,0.389333
307,200,201,10.000000,-9.608533,0.000000,0.391467
308,200,201,10.000000,-9.606400,0.000000,0.393600
309,200,201,10.000000,-9.604267,0.000000,0.395733
310,200,202,20.000000,-9.600000,23.437500,33.837500
311,200,202,20.000000,-9.595733,0.000000,10.404267
312,200,202,20.000000,-9.591467,0.000000,10.408533
313,200,202,20.000000,-9.587200,0.000000,10.412800
314,200,207,70.000000,-9.572267,117.187500,177.615233
315,200,207,70.000000,-9.557333,0.000000,60.442667
316,200,207,70.000000,-9.542400,0.000000,60.457600
317,200,207,70.000000,-9.527467,0.000000,60.472533
318,200,207,70.000000,-9.512533,0.000000,60.487467
319,200,206,60.000000,-9.499733,-23.437500,27.062767
320,200,206,60.000000,-9.486933,0.000000,50.513067
321,200,206,60.000000,-9.474133,0.000000,50.525867
322,200,206,60.000000,-9.461333,0.000000,50.538667
323,200,206,60.000000,-9.448533,0.000000,50.551467
324,200,212,120.000000,-9.422933,140.625000,251.202067
325,200,212,120.000000,-9.397333,0.000000,110.602667
326,200,212,120.000000,-9.371733,0.000000,110.628267
327,200,212,120.000000,-9.346133,0.000000,110.653867
328,200,212,120.000000,-9.320533,0.000000,110.679467
329,200,211,110.000000,-9.297067,-23.437500,77.265433
330,200,211,110.000000,-9.273600,0.000000,100.726400
331,200,211,110.000000,-9.250133,0.000000,100.749867
332,200,211,110.000000,-9.226667,0.000000,100.773333
333,200,211,110.000000,-9.203200,0.000000,100.796800
334,200,219,190.000000,-9.162667,187.500000,368.337333
335,200,219,190.000000,-9.122133,0.000000,180.877867
336,200,219,190.000000,-9.081600,0.000000,180.918400
337,200,219,190.000000,-9.041067,0.000000,180.958933
338,200,219,190.000000,-9.000533,0.000000,180.999467
339,200,212,120.000000,-8.974933,-164.062500,-53.037433
340,200,212,120.000000,-8.949333,0.000000,111.050667
341,200,212,120.000000,-8.923733,0.000000,111.076267
342,200,212,120.000000,-8.898133,0.000000,111.101867
343,200,212,120.000000,-8.872533,0.000000,111.127467
344,200,223,230.000000,-8.823467,257.812500,478.989033
345,200,223,230.000000,-8.774400,0.000000,221.225600
346,200,223,230.000000,-8.725333,0.000000,221.274667
347,200,223,230.000000,-8.676267,0.000000,221.323733
348,200,223,230.000000,-8.627200,0.000000,221.372800
349,200,217,170.000000,-8.590933,-140.625000,20.784067
350,200,217,170.000000,-8.554667,0.000000,161.445333
351,200,217,170.000000,-8.518400,0.000000,161.481600
352,200,217,170.000000,-8.482133,0.000000,161.517867
353,200,217,170.000000,-8.445867,0.000000,161.554133
354,200,239,390.000000,-8.362667,515.625000,897.262333
355,200,239,390.000000,-8.279467,0.000000,381.720533
356,200,239,390.000000,-8.196267,0.000000,381.803733
357,200,239,390.000000,-8.113067,0.000000,381.886933
358,200,239,390.000000,-8.029867,0.000000,381.970133
359,200,219,190.000000,-7.989333,-468.750000,-286.739333
360,200,219,190.000000,-7.948800,0.000000,182.051200
361,200,219,190.000000,-7.908267,0.000000,182.091733
362,200,219,190.000000,-7.867733,0.000000,182.132267
363,200,224,240.000000,-7.816533,117.187500,349.370967
364,200,224,240.000000,-7.765333,0.000000,232.234667
365,200,224,240.000000,-7.714133,0.000000,232.285867
366,200,224,240.000000,-7.662933,0.000000,232.337067
367,200,224,240.000000,-7.611733,0.000000,232.388267
368,200,223,230.000000,-7.562667,-23.437500,198.999833
369,200,223,230.000000,-7.513600,0.000000,222.486400
370,200,223,230.000000,-7.464533,0.000000,222.535467
371,200,223,230.000000,-7.415467,0.000000,222.584533
372,200,223,230.000000,-7.366400,0.000000,222.633600
373,200,222,220.000000,-7.319467,-23.437500,189.243033
374,200,222,220.000000,-7.272533,0.000000,212.727467
