time,P,I,D,ds,left speed,right speed
248,-0.520909,-0.000033,-1.220881,-1.741823,0.258177,3.741823
249,-0.440455,-0.000062,0.188565,-0.251951,1.748049,2.251951
250,-0.466364,-0.000091,-0.060724,-0.527179,1.472821,2.527179
251,-0.388636,-0.000116,0.182173,-0.206579,1.793421,2.206579
252,-0.317727,-0.000137,0.166193,-0.151671,1.848329,2.151671
253,-0.346364,-0.000159,-0.067116,-0.413639,1.586361,2.413639
254,-0.298636,-0.000178,0.111861,-0.186953,1.813047,2.186953
255,-0.163636,-0.000188,0.316406,0.152582,2.152582,1.847418
256,-0.199091,-0.000201,-0.083097,-0.282389,1.717611,2.282389
257,-0.267273,-0.000218,-0.159801,-0.427292,1.572708,2.427292
258,-0.162273,-0.000229,0.246094,0.083592,2.083592,1.916408
259,-0.137727,-0.000237,0.057528,-0.080436,1.919564,2.080436
260,-0.152727,-0.000247,-0.035156,-0.188131,1.811869,2.188131
261,-0.047727,-0.000250,0.246094,0.198116,2.198116,1.801884
262,-0.076364,-0.000255,-0.067116,-0.143735,1.856265,2.143735
263,-0.038182,-0.000258,0.089489,0.051049,2.051049,1.948951
264,-0.136364,-0.000266,-0.230114,-0.366744,1.633256,2.366744
265,-0.110455,-0.000273,0.060724,-0.050003,1.949997,2.050003
266,-0.122727,-0.000281,-0.028764,-0.151773,1.848227,2.151773
267,-0.091364,-0.000287,0.073509,-0.018142,1.981858,2.018142
268,-0.061364,-0.000291,0.070313,0.008658,2.008658,1.991342
269,0.032727,-0.000289,0.220526,0.252964,2.252964,1.747036
270,0.032727,-0.000287,0.000000,0.032440,2.032440,1.967560
271,-0.004091,-0.000287,-0.086293,-0.090671,1.909329,2.090671
272,0.115909,-0.000280,0.281250,0.396879,2.396879,1.603121
273,-0.054545,-0.000283,-0.399503,-0.454331,1.545669,2.454331
274,0.117273,-0.000276,0.402699,0.519696,2.519696,1.480304
275,0.130909,-0.000267,0.031960,0.162602,2.162602,1.837398
276,0.154091,-0.000257,0.054332,0.208166,2.208166,1.791834
277,0.076364,-0.000252,-0.182173,-0.106062,1.893938,2.106062
278,0.140455,-0.000243,0.150213,0.290424,2.290424,1.709576
279,0.043636,-0.000241,-0.226918,-0.183522,1.816478,2.183522
280,0.047727,-0.000238,0.009588,0.057078,2.057078,1.942922
281,0.166364,-0.000227,0.278054,0.444191,2.444191,1.555809
282,0.178636,-0.000216,0.028764,0.207185,2.207185,1.792815
283,0.096818,-0.000209,-0.191761,-0.095153,1.904847,2.095153
284,0.139091,-0.000200,0.099077,0.237967,2.237967,1.762033
285,0.106364,-0.000194,-0.076705,0.029465,2.029465,1.970535
286,0.000000,-0.000194,-0.249290,-0.249483,1.750517,2.249483
287,0.034091,-0.000191,0.079901,0.113800,2.113800,1.886200
288,0.057273,-0.000188,0.054332,0.111417,2.111417,1.888583
289,0.055909,-0.000184,-0.003196,0.052529,2.052529,1.947471
290,0.105000,-0.000178,0.115057,0.219879,2.219879,1.780121
291,-0.087273,-0.000183,-0.450639,-0.538095,1.461905,2.538095
292,-0.005455,-0.000183,0.191761,0.186123,2.186123,1.813877
293,0.069545,-0.000179,0.175781,0.245148,2.245148,1.754852
294,0.000000,-0.000179,-0.162997,-0.163176,1.836824,2.163176
295,-0.046364,-0.000182,-0.108665,-0.155210,1.844790,2.155210
296,0.023182,-0.000180,0.162997,0.185998,2.185998,1.814002
297,0.030000,-0.000179,0.015980,0.045802,2.045802,1.954198
298,-0.132273,-0.000187,-0.380327,-0.512786,1.487214,2.512786
299,0.008182,-0.000187,0.329190,0.337186,2.337186,1.662814
300,0.020455,-0.000185,0.028764,0.049034,2.049034,1.950966
301,0.015000,-0.000184,-0.012784,0.002032,2.002032,1.997968
302,0.001364,-0.000184,-0.031960,-0.030781,1.969219,2.030781
303,0.057273,-0.000180,0.131037,0.188129,2.188129,1.811871
304,-0.090000,-0.000186,-0.345170,-0.435357,1.564643,2.435357
305,0.035455,-0.000184,0.294034,0.329305,2.329305,1.670695
